open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1638576000000,0.10857000,0.10890000,0.07000000,0.09656000,2552184447.30000000,1638662399999,231783071.47099900,739740,1250632292.40000000,113752261.84044100,0
1638662400000,0.09656000,0.09809000,0.08613000,0.08979000,1118282105.40000000,1638748799999,101889965.66478700,286012,552721196.30000000,50364541.43763800,0
1638748800000,0.08979000,0.09387000,0.07928000,0.09339000,1502575405.40000000,1638835199999,128908694.00069000,333293,760552362.20000000,65284280.14300500,0
1638835200000,0.09342000,0.09800000,0.08983000,0.09151000,974981863.50000000,1638921599999,91561575.00918100,258067,483295894.70000000,45427373.77976500,0
1638921600000,0.09151000,0.09610000,0.08801000,0.09448000,925525372.40000000,1639007999999,85377061.60698400,230542,474900148.70000000,43829967.79152600,0
1639008000000,0.09447000,0.09592000,0.08534000,0.08553000,803444938.50000000,1639094399999,72122388.22481700,192100,403972625.70000000,36279369.23984800,0
1639094400000,0.08548000,0.08896000,0.08017000,0.08056000,800238149.60000000,1639180799999,68212279.56209400,194112,400798005.70000000,34188128.91905000,0
1639180800000,0.08057000,0.08648000,0.07912000,0.08617000,551351942.30000000,1639267199999,45962441.09476600,136510,287568034.60000000,24007793.95037600,0
1639267200000,0.08616000,0.08811000,0.08277000,0.08698000,446687971.60000000,1639353599999,38299695.52365700,110239,227617675.40000000,19525304.37582700,0
1639353600000,0.08696000,0.08845000,0.07533000,0.07717000,921744582.50000000,1639439999999,74177458.11667800,216583,456537247.20000000,36730139.49454000,0
1639440000000,0.07719000,0.08099000,0.07491000,0.07969000,706833212.00000000,1639526399999,55343915.12355700,173745,364274249.80000000,28537272.78431500,0
1639526400000,0.07969000,0.08448000,0.07452000,0.08306000,839531148.90000000,1639612799999,67038142.09380300,226402,424305923.60000000,33898235.39396700,0
1639612800000,0.08307000,0.08779000,0.08111000,0.08158000,641220341.80000000,1639699199999,54112787.03095100,185103,307887333.50000000,25983235.43114800,0
1639699200000,0.08156000,0.08432000,0.07768000,0.08008000,657364326.90000000,1639785599999,53165552.93863100,179748,328024207.00000000,26538406.72038000,0
1639785600000,0.08008000,0.08472000,0.07887000,0.08413000,490543288.00000000,1639871999999,40370399.32881100,139378,249709027.40000000,20556002.74463200,0
1639872000000,0.08411000,0.08495000,0.08002000,0.08026000,451096520.50000000,1639958399999,37252831.55235000,112730,223167330.20000000,18438082.72345000,0
1639958400000,0.08030000,0.08133000,0.07610000,0.07950000,573887974.50000000,1640044799999,45239539.12540700,133390,288302353.80000000,22734044.96937400,0
1640044800000,0.07951000,0.08376000,0.07844000,0.08326000,486424516.10000000,1640131199999,39607734.32995000,121681,245810940.20000000,20018353.09700300,0
1640131200000,0.08325000,0.08895000,0.08270000,0.08684000,762805460.00000000,1640217599999,65492479.59610900,240259,374817493.30000000,32194306.94599600,0
1640217600000,0.08686000,0.09426000,0.08460000,0.09299000,792475294.70000000,1640303999999,70880647.36258800,284501,390494811.60000000,34944408.83308300,0
1640304000000,0.09301000,0.09605000,0.09082000,0.09185000,646616980.60000000,1640390399999,60779974.79636900,260844,313478257.60000000,29476518.09151700,0
1640390400000,0.09186000,0.09540000,0.09113000,0.09468000,376032001.70000000,1640476799999,35089729.90467500,115430,184325192.80000000,17193740.83061400,0
1640476800000,0.09468000,0.09514000,0.09130000,0.09447000,482904501.30000000,1640563199999,45235656.13441600,160641,229092176.50000000,21462458.00291800,0
1640563200000,0.09446000,0.10298000,0.09446000,0.09773000,880924819.10000000,1640649599999,87853282.33474500,378431,431220554.70000000,43025584.48902500,0
1640649600000,0.09771000,0.09776000,0.08699000,0.08762000,966550699.60000000,1640735999999,89460459.83137100,318807,471075459.50000000,43648871.67447600,0
1640736000000,0.08765000,0.09013000,0.08189000,0.08258000,704362667.10000000,1640822399999,60612924.57823600,197358,329180793.40000000,28332213.80805400,0
1640822400000,0.08258000,0.08655000,0.08065000,0.08461000,512838970.50000000,1640908799999,43209295.19350200,140320,259270125.00000000,21840150.87212200,0
1640908800000,0.08462000,0.08739000,0.08086000,0.08267000,484161274.60000000,1640995199999,40858327.61612600,138922,243499392.20000000,20543022.78893700,0
1640995200000,0.08266000,0.08690000,0.08264000,0.08658000,302321094.10000000,1641081599999,25595154.72653700,89587,155577076.50000000,13172398.11783100,0
1641081600000,0.08662000,0.08884000,0.08466000,0.08714000,330214486.60000000,1641167999999,28633966.17333500,108966,168544523.80000000,14617768.15790900,0
1641168000000,0.08712000,0.08890000,0.08428000,0.08587000,526544835.50000000,1641254399999,45589317.46855800,151535,262599383.20000000,22752505.81082800,0
1641254400000,0.08589000,0.08980000,0.08367000,0.08590000,634447337.30000000,1641340799999,55276110.59053200,182472,314115036.80000000,27376148.91258600,0
1641340800000,0.08589000,0.09600000,0.07855000,0.08461000,1756726493.90000000,1641427199999,157435378.94731000,513681,867849517.70000000,77836794.95147300,0
1641427200000,0.08462000,0.08494000,0.08034000,0.08257000,880427597.10000000,1641513599999,72610828.05873600,214618,436486857.90000000,36011746.08195800,0
1641513600000,0.08253000,0.08295000,0.07621000,0.07861000,892450651.90000000,1641599999999,70735518.91024300,232880,433552585.20000000,34373630.32634400,0
1641600000000,0.07862000,0.08080000,0.07188000,0.07545000,664419206.20000000,1641686399999,50824075.54286800,171022,326586902.60000000,24986603.55059300,0
1641686400000,0.07549000,0.07899000,0.07450000,0.07663000,484046371.00000000,1641772799999,37170852.90383000,123447,240651341.30000000,18488021.98534400,0
1641772800000,0.07661000,0.07769000,0.06890000,0.07302000,767725424.70000000,1641859199999,55916518.58723600,189392,379909183.10000000,27675185.97889400,0
1641859200000,0.07303000,0.07692000,0.07207000,0.07661000,516427699.90000000,1641945599999,38524804.33655100,120881,264220068.60000000,19721890.04915500,0
1641945600000,0.07668000,0.08256000,0.07665000,0.08238000,605834341.40000000,1642031999999,48540853.37982400,154240,300951805.80000000,24115918.67263000,0
1642032000000,0.08238000,0.08314000,0.07674000,0.07777000,686404974.50000000,1642118399999,54935370.24601700,176868,318993280.00000000,25545972.54633900,0
1642118400000,0.07777000,0.07980000,0.07542000,0.07898000,453753455.20000000,1642204799999,35298270.18324600,117914,226427935.20000000,17616110.42198900,0
1642204800000,0.07901000,0.08013000,0.07746000,0.07851000,309481916.60000000,1642291199999,24397383.37910800,76903,152100690.60000000,11989844.16378000,0
1642291200000,0.07851000,0.07979000,0.07710000,0.07844000,309592034.40000000,1642377599999,24300919.28506700,81900,141775992.90000000,11125709.30380100,0
1642377600000,0.07843000,0.07859000,0.07371000,0.07519000,457631641.70000000,1642463999999,34659443.07432000,109649,220032217.60000000,16670904.66883200,0
1642464000000,0.07523000,0.07605000,0.07210000,0.07414000,461742766.00000000,1642550399999,34032331.46401700,114970,226203029.80000000,16680387.08340800,0
1642550400000,0.07413000,0.07476000,0.07018000,0.07073000,417930420.50000000,1642636799999,30139146.28573300,111895,199733425.50000000,14408365.70860500,0
1642636800000,0.07073000,0.07481000,0.06703000,0.06760000,545805279.00000000,1642723199999,39028394.64410900,140980,265829106.20000000,19031050.02078300,0
1642723200000,0.06759000,0.06889000,0.05556000,0.05746000,1459868061.20000000,1642809599999,90953831.13951100,323633,699370061.60000000,43581164.40557700,0
